year,state,name,event,notes
,楚,-,伐魏，決白馬，以水長垣之外,紀年
-358,魏,-,與鄭釐侯盟巫沙以釋宅陽之圍，歸釐與鄭,紀年
,齊,桓公,【卒】,70，84
,齊,匡章,【生】,94，生此時或稍前
,齊,鄒忌,見威王,84，74
-357,魏,魯共侯，宋桓侯，衛成侯，鄭釐侯,來朝,154，78，69
,齊,威王,立稷下宮招致逰士，當在此時前後,75，76
,,淳于髡,逰稷下,118
-356,秦,衛鞅,拜右庶長,
,韓,-,築長城自亥谷以南,紀年
,趙,-,與燕煇阿,
,越,無顓,【薨】,134
-355,秦,公子壯,帥師伐鄭，圍焦城不克,紀年
,,-,與魏會杜平,83
,韓,申不害,為相,77
,趙,-,伐衛取漆富丘城之,78
,齊,威王,及燕師戰于泃水，齊師遁,紀年
-354,秦,與魏戰元里取少梁,,
,魏,-,伐趙圍邯鄲,78
,,季梁,TODO,79
,,楊朱,TODO,80，81
,韓,-,朝魏于中陽,77
,,-,東周與鄭高都利,紀年
,齊,田期,伐魏東鄙戰於桂陽，魏敗,78
,宋,景㪨，衛公孫倉,會齊師，圍魏襄陵,78
-353,魏,-,以韓師敗諸侯，師于襄陵，齊侯使楚景舍來求成,77，78
,,,拔邯鄲,78
,齊,-,敗魏桂陵,78
-352,秦,衛鞅,為大良造，伐魏安邑降之,46
,魏,-,晉取泫武濩澤,36
-351,秦,衛鞅,圍魏固陽降之,
,魏,-,歸趙邯鄲，與盟漳水上,78
,趙,慎到,【生】,137，當生此時前後
,齊,-,防以為長城,128
,,天駢,【生】,139，當生此時前後
-350,秦,-,自雍徙都咸陽,
-349,韓,韓姬,弑晉君,36
,趙,,奪晉君端氏徙處屯留,36
-348,韓,招侯,如秦,
,齊,陳仲,【生】,150，當生此時前後
-346,秦,衛鞅,太子犯法，衛鞅刑其傅公子虔,73
,楚,-,伐徐州,118
-345,魏,-,敗韓馬陵,紀年
-344,秦,少官,公子少官帥師會諸侯于逢澤,83
,魏,白圭,封于澮,82
,,-,會諸侯于逢澤,83
,齊,田肦,伐梁,84
-343,周,杜赫,TODO,55，85，163
,魏,穰疵,率師及鄭孔夜戰于梁赫，鄭師敗,84
,,惠施,遊梁,93，在此稍後
,楚,屈原,【生】,87
,齊,-,敗梁馬陵,84，86
,,田忌,以與鄒忌相悪奔楚孫臏從,85
-342,秦,衛鞅,伐魏虜公子卬,鞅傳
,魏,齊田肦,五月齊田肦伐魏東鄙，九月秦衛鞅伐魏西鄙，十月邯鄲伐魏北鄙，王攻衛鞅敗績,84
,,中山君,為相,54，146
,齊,田肦,及宋人伐魏東鄙圍平陽,紀年
-341,秦,衛鞅,封衛鞅於商十五邑，號曰商鞅,73
,魏,-,城濟陽,紀年
-340,魏,-,下邳遷於薛改名徐州,110
,宋,剔成,廢君自立稱元年,69
-339,魏,-,與秦戰岸門,
,趙,荀卿,【生】,103，當生此時稍前
,楚,鐸椒,TODO,67
,,莊周,TODO,88
,,沈尹華,TODO,89
-338,秦,商君,孝公卒，商君死，尸佼逃蜀,90
,宋,剔成,【卒】，弟偃嗣立,69，91
-337,韓,申不害,【卒】,71，77
-335,秦,-,拔韓宜陽,94
,齊,匡章,敗秦或在此年,94
,,孟子,遊齊與匡章遊當在此時稍前,94，98
-334,魏,-,與齊會徐州相王,92，齊魏會徐州，相約僭稱王
,,惠施,用事於魏,93
,韓,-,作高門,94
,燕,蘇秦,至燕（？）,95
-333,秦,公孫衍,為大良造,
,楚,-,伐齊敗之圍徐州,96
,燕,文侯,【卒】,97
,燕,文侯,齊伐燕取十城,97
-332,燕,易王,與魏伐趙,
-330,周,昭文君,資張儀入秦,107
,秦,-,魏獻河西地,107
,,張儀,初入秦應在此年或稍前,107
-329,秦,-,渡河取魏汾陰、皮氏，與魏會應,
-328,秦,張儀,相,
,,-,魏納上郡,
,宋,君偃,始稱王,99
-327,趙,韓擧,與齊戰死於桑邱,102
,宋,-,太丘社亡周鼎淪泗水下（？）,99
-326,韓,-,與趙圍襄陵,102
-325,秦,惠文王,四月始稱王,100
,韓,-,五月會梁王於巫沙,101，102
,,-,始稱王,101，103
,,-,十月朝梁,101，104
,齊,荀卿,來遊學當在此時或稍前,103
-324,魏,-,與齊韓會阿平,104
,宋,孟子,遊宋當在此時或稍前,98，110
-323,秦,張儀,會齊楚魏之大臣於齧桑,
,魏,犀首,約魏趙韓燕中山五國相王,105， 犀首，魏臣；相與稱王
,,-,會齊威王於鄄,104
,楚,-,敗魏襄陵,
,燕,易王,五十年始稱王,105
,齊,孟子,自宋過薛,110
,,孟子,歸魯之滕,111，112
-322,秦,-,韓魏太子來朝,本紀
,,-,伐魏曲沃平周取之,
,魏,惠施,去魏,107
,,張儀,相魏,107
,楚,惠施,自魏來,107
,魯,平公,立,106，112
,齊,田嬰,四月封田嬰於薛十月城薛,109
,宋,惠施,楚納惠施,108
-321,秦,田鳩,秦惠王時墨者,114，年序世次，腹䵍最前，田鳩次之，唐謝又次之
,,腹䵍,秦惠王時墨者,114，年序世次，腹䵍最前，田鳩次之，唐謝又次之
,,唐姑果,秦惠王時墨者,114，年序世次，腹䵍最前，田鳩次之，唐謝又次之
,,謝子,秦惠王時墨者,114，年序世次，腹䵍最前，田鳩次之，唐謝又次之
,魏,薛子嬰,來朝,紀年
,齊,孟子,在滕,
,,許行,遊滕當在此時,113
,,蘇秦,【卒】,95，或在此時
-320,魏,孟子,遊梁,115
,,中山公子牟,【生】,146，當生此時或稍前
,齊,威王,【卒】,74
,,蘇厲,侍燕質子在齊,95，蘇厲為蘇秦弟
,,蘇代,侍燕質子在燕,95，蘇代為蘇秦弟
,,荀子,遊燕當在此時或稍後,103
-319,魏,惠王,【卒】,115
,,惠施,返魏,116
,,張儀,去魏,116
,趙,公孫龍,【生】,"141,當在此時或稍後"
,齊,孟子,自魏來,117
,,鄒忌,【卒】,85
,,-,稷下學士復盛,75
,,淳于髡,TODO,75
,,田駢,TODO,75
,,環淵,TODO,75
,,王斗,TODO,75
,,尹文,TODO,75
,,蘇代,自燕使齊當在此時前後,95
-318,秦,-,五國約擊秦不勝而還,95
,魏,惠施,使楚,116
,,孟嘗君,初相魏當在此年或稍後,125
,齊,田忌,復歸,85
,,孫臏,【卒】,85，在前
,,蘇代,自齊使燕當在此年或明年,95
,滕,文公,【卒】,135，在是年或稍後
-317,秦,-,敗趙公子渴韓太子奐，斬首八萬,95
,,張儀,復相,95
,,義渠,襲敗秦於李帛,95
,魏,襄哀王,齊敗魏觀澤,95
,韓,-,秦敗韓脩魚，虜將申差,95
,趙,-,與韓魏共擊秦,95
,,-,齊敗趙觀澤,95
,齊,-,與宋敗魏趙於觀澤,95
-316,齊,-,讓國於相之子,95，齊相名為“之子”
-315,楚,屈原,為左徙當在此時或稍前,121
,齊,-,冬伐燕,120
,,匡章,為將,94
-314,秦,-,敗韓師於岸門,
,魏,惠施,使趙,116
,趙,-,立燕公子職,120
,齊,-,取燕，燕君噲、及太子、相之子皆死,120
,,蘇代，蘇厲,皆留齊,95
-313,楚,屈原,見疏作離騷當在此時或稍前,121
,,張儀,來楚,
-312,秦,-,敗楚屈丐取漢中,
,魏,-,秦王來見于蒲阪闗,紀年
,,-,四月越王使來獻乘舟,紀年
,,-,擊齊於濮贅子死章子走,94
,韓,-,與秦共攻楚,紀年
,,-,韓明率師伐襄丘,紀年
,楚,景翠,圍韓雍氏,紀年
,齊,孟子,去齊當在此時或稍後,122
,,-,王殺其王后,紀年
,,蘇代,在齊見陳軫,95
,宋,孟軻,孟軻宋鈃遇於石邱當在此年或稍前,122，123
-311,楚,張儀,復來,126
,,屈原,使齊返,
-310,魏,田需,【卒】,125，田需為魏相
,,惠施,【卒】,125，當在此年或稍前
,,張儀,【卒】,126，五月張儀卒
,趙,-,納孟姚，生子何,
,楚,蘇厲,在楚北見梁王,95
,,庶章,率師會魏於襄丘,紀年
-309,秦,-,初置丞相，樗里疾，甘茂為丞相,
,魏,-,河水溢酸棗郛,紀年
-308,秦,-,伐韓宜陽,本紀
-307,秦,-,拔宜陽，涉河，城武遂,
,,武王,【卒】,99，王卒於周
,魏,-,秦擊皮氏,紀年世家
,趙,-,初胡服,82
,楚,屈原,居漢北為三閭大夫當在此時或稍前,127
,齊,魯仲連,【生】,155，當生此時或稍後
-306,秦,甘茂,奔齊遇蘇代,95，128
,魏,-,城皮氏,紀年
,韓,-,秦復與韓武遂,世家
,,-,楚圍韓雍氏,95
,,蘇代,為齊使秦過韓,95
,趙,-,略中山胡地,世家
,,白圭,遊中山當在此時或稍後,82
,楚,-,圍韓雍氏,95
-305,魏,蘇代,拘於魏應在此稍後,95
,趙,-,伐中山，中山獻四邑以和,世家
,楚,-,迎婦於秦,161
,,-,還淵詹何,146
-304,楚,-,與秦盟黃棘，秦歸楚上庸,世家
-303,魏,-,秦拔魏蒲阪晉陽封谷,
,韓,-,秦取武遂,
,趙,-,攻中山,世家
,楚,-,齊韓魏伐楚，楚使太子質秦,
-302,魏,-,與秦會臨晉，復魏蒲阪,
,趙,-,命吏大夫奴遷于九原，又命將軍大夫適子戍吏皆貉服,82
,齊,公孫宏,使秦,129
-301,秦,-,會韓魏齊之師伐楚,
,,-,涇陽君為質於齊,95
,趙,-,伐中山，中山君奔齊,95
,,公子牟,TODO,146
,齊,宣王,【卒】,95
,,孟嘗君,將入秦，蘇代諫止之,95
,,匡章,將與韓魏攻楚，殺唐昧,94，128
,,鄒衍,【生】,144，生在此時稍前
